Bloco,Música,Loop,Nome do Loop,Tipo,Prompt
BLOCO 01 · Cultura / Rua / Estilo,CAPA M01 · SOBREVIVENDO NO INFERNO,Capa,Capa,Frame,"Sobrevivendo no Inferno album cover, Racionais MCs 1997, centered full frame, cinematic dark vignette, heavy film grain, monumental iconic presence, photorealistic"
BLOCO 01 · Cultura / Rua / Estilo,CAPA M01 · SOBREVIVENDO NO INFERNO,Capa,Capa,Animação,"Sobrevivendo no Inferno album cover slowly zooming in, dark vignette pulsing at edges, heavy film grain breathing, seamless loop, cinematic title card"
BLOCO 01 · Cultura / Rua / Estilo,M01 · QUAL MENTIRA VOU ACREDITAR,Loop 1,Sample de Rádio,Frame,"Front-facing view of a massive vintage 1980s boombox, imposing and monumental, full body visible within frame, wide 16:9 composition, entire boombox centered and contained, fills most of the frame, low angle slightly below eye level looking up, photorealistic, dual cassette decks, analog FM tuner dial, large powerful speaker grills on both sides, warm amber backlight behind the tuner, no fake text no invented labels no made-up numbers, only real physical details, dark cinematic background, dramatic side lighting with deep shadows, VHS scanlines overlay, raw film grain, slight chromatic aberration, cinematic still"
BLOCO 01 · Cultura / Rua / Estilo,M01 · QUAL MENTIRA VOU ACREDITAR,Loop 1,Sample de Rádio,Animação,"Massive vintage 1980s boombox centered on screen, static locked-off camera, no camera movement, VHS scanlines flickering across the entire frame, white noise particles drifting slowly over the surface, amber backlight behind the FM tuner pulsing gently, cassette reels spinning in slow hypnotic loop, electromagnetic interference patterns forming and dissolving, deep shadows breathing, seamless loop, dark cinematic atmosphere --ar 16:9"
BLOCO 01 · Cultura / Rua / Estilo,M01 · QUAL MENTIRA VOU ACREDITAR,Loop 2,Concreto Vivo,Frame,"Extreme close-up of São Paulo brutalist concrete wall, São Bento metro area architecture, raw texture with deep moisture stains and hairline cracks, dramatic single light source from below casting hard shadows, monolithic and still, dark cinematic, no people"
BLOCO 01 · Cultura / Rua / Estilo,M01 · QUAL MENTIRA VOU ACREDITAR,Loop 2,Concreto Vivo,Animação,"Extreme close-up of São Paulo brutalist concrete surface slowly breathing and pulsing like living skin, cracks organically opening and closing in rhythm, moisture stains morphing into abstract map-like patterns and dissolving back, subtle slow camera push-in, seamless loop, dark cinematic lighting, no people, São Bento metro area --ar 16:9"
BLOCO 01 · Cultura / Rua / Estilo,M01 · QUAL MENTIRA VOU ACREDITAR,Loop 3,Escadaria Infinita,Frame,"São Paulo brutalist concrete staircase seen from below looking up, raw concrete steps receding into darkness, São Paulo skyline barely visible at the top, single dramatic light source, Escher-like impossible depth, no people, dark overcast sky, monumental scale"
BLOCO 01 · Cultura / Rua / Estilo,M01 · QUAL MENTIRA VOU ACREDITAR,Loop 3,Escadaria Infinita,Animação,"São Paulo brutalist concrete staircase seen from below looking up, raw concrete steps slowly ascending frame, at the top the staircase folds impossibly back onto itself Penrose-style, the camera never moves but the stairs keep rising infinitely, São Paulo skyline glimpsed and swallowed by darkness in endless cycle, single dramatic light source shifting with the geometry, dreamlike Escher impossible architecture, seamless infinite loop, no people, dark overcast sky, monumental scale"
BLOCO 01 · Cultura / Rua / Estilo,M01 · QUAL MENTIRA VOU ACREDITAR,Loop 4,Praça Dobrada,Frame,"Resin concrete surfaces arranged in geometric collage, multiple slabs at sharp 90-degree breaks, panels shifting between horizontal vertical and depth planes, varied tones from ash grey to deep charcoal, matte finish with subtle sheen, surface wear and imperfections visible, dramatic raking light catching the plane changes, wide graphic composition, flat 3D render aesthetic, no buildings no sky no people, high contrast"
BLOCO 01 · Cultura / Rua / Estilo,M01 · QUAL MENTIRA VOU ACREDITAR,Loop 4,Praça Dobrada,Animação,"Resin concrete slabs in geometric collage, panels arranged at 90-degree breaks across horizontal vertical and depth planes, each surface slowly rotating independently on its own axis, planes folding into perpendicular angles and unfolding back, varied tones ash grey to deep charcoal, matte finish with subtle sheen, dramatic raking light shifting across plane changes, mograph loop, seamless, no buildings no sky no people, high contrast"
